Vin,Vout_FF,Vout_FS,Vout_SF,Vout_SS,Vout_TT(Reference_corner)
0.202,0.139640057,0.139843366,0.138186563,0.133583561,0.13953212
0.203,0.140336341,0.140537761,0.138842701,0.134231065,0.140214024
0.204,0.141033297,0.14123284,0.139499582,0.134879353,0.140896629
0.205,0.141730922,0.141928597,0.1401572,0.13552842,0.141579932
0.206,0.142429209,0.142625028,0.140815552,0.136178262,0.142263928
0.207,0.143128156,0.143322129,0.141474633,0.136828874,0.142948612
0.208,0.143827757,0.144019894,0.14213444,0.137480253,0.14363398
0.209,0.144528007,0.144718319,0.142794968,0.138132394,0.144320027
0.21,0.145228903,0.1454174,0.143456214,0.138785292,0.14500675
0.211,0.145930439,0.146117132,0.144118173,0.139438944,0.145694144
0.212,0.146632613,0.146817511,0.144780842,0.140093345,0.146382204
0.213,0.147335418,0.147518532,0.145444216,0.140748491,0.147070927
0.214,0.148038851,0.148220192,0.146108291,0.141404378,0.147760308
0.215,0.148742908,0.148922485,0.146773064,0.142061002,0.148450343
0.216,0.149447585,0.149625408,0.147438531,0.142718359,0.149141029
0.217,0.150152876,0.150328956,0.148104688,0.143376444,0.14983236
0.218,0.150858779,0.151033125,0.148771532,0.144035254,0.150524333
0.219,0.151565289,0.151737911,0.149439057,0.144694785,0.151216945
0.22,0.152272402,0.15244331,0.150107261,0.145355032,0.15191019
0.221,0.152980114,0.153149318,0.150776141,0.146015993,0.152604065
0.222,0.153688421,0.153855931,0.151445691,0.146677662,0.153298566
0.223,0.154397319,0.154563144,0.152115909,0.147340037,0.153993689
0.224,0.155106805,0.155270954,0.152786791,0.148003112,0.154689431
0.225,0.155816873,0.155979358,0.153458334,0.148666885,0.155385788
0.226,0.156527521,0.15668835,0.154130533,0.149331352,0.156082755
0.227,0.157238744,0.157397927,0.154803385,0.149996509,0.156780329
0.228,0.15795054,0.158108085,0.155476887,0.150662352,0.157478507
0.229,0.158662903,0.158818821,0.156151036,0.151328877,0.158177284
0.23,0.159375831,0.159530131,0.156825827,0.151996081,0.158876657
0.231,0.160089319,0.160242011,0.157501257,0.15266396,0.159576623
0.232,0.160803364,0.160954457,0.158177323,0.153332511,0.160277177
0.233,0.161517963,0.161667466,0.158854022,0.154001729,0.160978317
0.234,0.162233111,0.162381033,0.15953135,0.154671612,0.161680039
0.235,0.162948806,0.163095156,0.160209303,0.155342156,0.162382338
0.236,0.163665044,0.163809831,0.160887879,0.156013357,0.163085213
0.237,0.16438182,0.164525055,0.161567074,0.156685212,0.163788658
0.238,0.165099133,0.165240823,0.162246885,0.157357718,0.164492672
0.239,0.165816978,0.165957132,0.162927308,0.15803087,0.16519725
0.24,0.166535351,0.16667398,0.163608341,0.158704665,0.165902389
0.241,0.16725425,0.167391362,0.164289979,0.159379101,0.166608086
0.242,0.167973672,0.168109275,0.164972221,0.160054174,0.167314337
0.243,0.168693612,0.168827715,0.165655063,0.160729879,0.16802114
0.244,0.169414068,0.16954668,0.166338501,0.161406215,0.16872849
0.245,0.170135036,0.170266166,0.167022532,0.162083178,0.169436386
0.246,0.170856513,0.17098617,0.167707155,0.162760764,0.170144822
0.247,0.171578497,0.171706689,0.168392364,0.163438971,0.170853797
