Vin,Vout_TT(Reference_corner)
2.70E-05,3.75E-05
2.80E-05,3.87E-05
2.90E-05,3.99E-05
3.00E-05,4.10E-05
3.10E-05,4.22E-05
3.20E-05,4.33E-05
3.30E-05,4.44E-05
3.40E-05,4.56E-05
3.50E-05,4.67E-05
3.60E-05,4.78E-05
3.70E-05,4.90E-05
3.80E-05,5.01E-05
3.90E-05,5.12E-05
4.00E-05,5.23E-05
4.10E-05,5.34E-05
4.20E-05,5.45E-05
4.30E-05,5.56E-05
4.40E-05,5.67E-05
4.50E-05,5.78E-05
4.60E-05,5.89E-05
4.70E-05,6.00E-05
4.80E-05,6.10E-05
4.90E-05,6.21E-05
5.00E-05,6.32E-05
5.10E-05,6.43E-05
5.20E-05,6.53E-05
5.30E-05,6.64E-05
5.40E-05,6.75E-05
5.50E-05,6.85E-05
5.60E-05,6.96E-05
5.70E-05,7.07E-05
5.80E-05,7.17E-05
5.90E-05,7.28E-05
6.00E-05,7.38E-05
6.10E-05,7.49E-05
6.20E-05,7.59E-05
6.30E-05,7.69E-05
6.40E-05,7.80E-05
6.50E-05,7.90E-05
6.60E-05,8.01E-05
6.70E-05,8.11E-05
6.80E-05,8.21E-05
6.90E-05,8.32E-05
7.00E-05,8.42E-05
7.10E-05,8.52E-05
7.20E-05,8.62E-05
7.30E-05,8.73E-05
7.40E-05,8.83E-05
7.50E-05,8.93E-05
7.60E-05,9.03E-05
7.70E-05,9.13E-05
7.80E-05,9.24E-05
7.90E-05,9.34E-05
8.00E-05,9.44E-05
8.10E-05,9.54E-05
8.20E-05,9.64E-05
8.30E-05,9.74E-05
8.40E-05,9.84E-05
8.50E-05,9.94E-05
8.60E-05,0.000100424
8.70E-05,0.000101425
8.80E-05,0.000102425
8.90E-05,0.000103424
9.00E-05,0.000104421
9.10E-05,0.000105416
9.20E-05,0.000106411
9.30E-05,0.000107404
9.40E-05,0.000108395
9.50E-05,0.000109386
9.60E-05,0.000110375
9.70E-05,0.000111363
9.80E-05,0.00011235
9.90E-05,0.000113335
1.00E-04,0.00011432
0.000101,0.000115303
0.000102,0.000116285
0.000103,0.000117265
0.000104,0.000118245
0.000105,0.000119224
0.000106,0.000120201
0.000107,0.000121177
0.000108,0.000122152
0.000109,0.000123127
0.00011,0.0001241
0.000111,0.000125072
0.000112,0.000126043
0.000113,0.000127013
0.000114,0.000127982
0.000115,0.000128949
0.000116,0.000129916
0.000117,0.000130882
0.000118,0.000131847
0.000119,0.000132811
0.00012,0.000133774
0.000121,0.000134737
0.000122,0.000135698
0.000123,0.000136658
0.000124,0.000137617
0.000125,0.000138576
0.000126,0.000139533
0.000127,0.00014049
0.000128,0.000141446
0.000129,0.000142401
0.00013,0.000143355
0.000131,0.000144308
0.000132,0.00014526
0.000133,0.000146212
0.000134,0.000147162
0.000135,0.000148112
0.000136,0.000149061
0.000137,0.000150009
0.000138,0.000150957
0.000139,0.000151903
0.00014,0.000152849
0.000141,0.000153794
0.000142,0.000154738
0.000143,0.000155682
0.000144,0.000156625
0.000145,0.000157567
0.000146,0.000158508
0.000147,0.000159448
0.000148,0.000160388
0.000149,0.000161327
0.00015,0.000162265
0.000151,0.000163203
0.000152,0.00016414
0.000153,0.000165076
0.000154,0.000166011
0.000155,0.000166946
0.000156,0.00016788
0.000157,0.000168813
0.000158,0.000169746
0.000159,0.000170678
0.00016,0.000171609
0.000161,0.00017254
0.000162,0.00017347
0.000163,0.000174399
0.000164,0.000175327
0.000165,0.000176255
0.000166,0.000177183
0.000167,0.000178109
0.000168,0.000179035
0.000169,0.000179961
0.00017,0.000180885
0.000171,0.000181809
0.000172,0.000182733
0.000173,0.000183656
0.000174,0.000184578
0.000175,0.0001855
0.000176,0.00018642
0.000177,0.000187341
0.000178,0.000188261
0.000179,0.00018918
0.00018,0.000190098
0.000181,0.000191016
0.000182,0.000191934
0.000183,0.00019285
0.000184,0.000193767
0.000185,0.000194682
0.000186,0.000195597
0.000187,0.000196512
0.000188,0.000197425
0.000189,0.000198339
0.00019,0.000199251
0.000191,0.000200164
0.000192,0.000201075
0.000193,0.000201986
0.000194,0.000202897
0.000195,0.000203807
0.000196,0.000204716
0.000197,0.000205625
0.000198,0.000206533
0.000199,0.000207441
0.0002,0.000208348
