Vin,180000,150000,128571,112500,100000,90000,81818,75000,69230,64285,60000,56250,52941,50000
-0.1999,178128.6954,148157.8957,126600.1219,110291.742,97493.42988,87165.84731,80906.76733,74096.29177,68290.20916,63300.06697,58959.54841,55145.8763,51765.16128,48753.38269
-0.1998,178146.111,148172.7017,126613.2684,110303.8019,97504.7677,87176.69551,80914.74645,74103.69619,68297.15293,63306.64023,58965.82197,55151.90623,51770.99261,48759.05193
-0.1997,178162.3202,148186.5111,126625.5723,110315.1376,97515.47916,87187.01344,80922.17918,74110.60217,68303.6395,63312.79217,58971.70557,55157.57409,51776.4871,48764.40796
-0.1996,178178.5137,148200.3075,126637.8652,110326.4638,97526.18227,87197.32395,80929.60484,74117.5017,68310.12014,63318.93868,58977.58407,55163.23718,51781.97712,48769.75979
-0.1995,178194.6917,148214.0909,126650.1472,110337.7804,97536.87691,87207.62694,80937.02346,74124.39473,68316.5948,63325.07961,58983.45741,55168.89549,51787.46267,48775.10742
-0.1994,178210.854,148227.8615,126662.418,110349.0875,97547.5632,87217.92247,80944.43489,74131.28126,68323.06348,63331.21502,58989.32565,55174.54901,51792.94374,48780.45084
-0.1993,178227.0006,148241.6189,126674.6778,110360.3849,97558.24098,87228.21048,80951.83928,74138.16127,68329.52617,63337.34491,58995.18872,55180.19771,51798.4203,48785.79001
-0.1992,178243.1314,148255.3632,126686.9264,110371.6726,97568.91027,87238.49091,80959.23644,74145.03472,68335.98284,63343.46921,59001.0466,55185.84159,51803.89234,48791.12494
-0.1991,178259.2465,148269.0944,126699.1638,110382.9507,97579.57106,87248.76377,80966.62645,74151.90162,68342.43343,63349.58791,59006.8993,55191.48062,51809.35983,48796.45562
-0.199,178275.3456,148282.8125,126711.39,110394.219,97590.22326,87259.02902,80974.00927,74158.76189,68348.87798,63355.70101,59012.74677,55197.11478,51814.82278,48801.78201
-0.1989,178291.4288,148296.5172,126723.6049,110405.4776,97600.86692,87269.28665,80981.3848,74165.61561,68355.31646,63361.80848,59018.58902,55202.74408,51820.28115,48807.10412
-0.1988,178307.496,148310.2088,126735.8085,110416.7263,97611.50194,87279.53662,80988.75315,74172.46265,68361.74881,63367.91029,59024.42602,55208.36844,51825.73495,48812.42191
-0.1987,178323.5471,148323.887,126748.0008,110427.9653,97622.12832,87289.77886,80996.11414,74179.30304,68368.17505,63374.00646,59030.25775,55213.98792,51831.18415,48817.73539
-0.1986,178339.5823,148337.5518,126760.1818,110439.1944,97632.74605,87300.01346,81003.46792,74186.13673,68374.5951,63380.09693,59036.0842,55219.60247,51836.62872,48823.04453
-0.1985,178355.6012,148351.2033,126772.3513,110450.4135,97643.35506,87310.24027,81010.8143,74192.96375,68381.00905,63386.18167,59041.90536,55225.21206,51842.06865,48828.34933
-0.1984,178371.604,148364.8414,126784.5094,110461.6229,97653.95536,87320.45932,81018.15335,74199.78404,68387.41678,63392.26071,59047.72119,55230.8167,51847.50397,48833.64974
