R_gds_inst (Vctrl=0) X,R_gds_inst (Vctrl=0) Y,R_gds_inst (Vctrl=0.1) X,R_gds_inst (Vctrl=0.1) Y,R_gds_inst (Vctrl=0.2) X,R_gds_inst (Vctrl=0.2) Y,R_gds_inst (Vctrl=0.3) X,R_gds_inst (Vctrl=0.3) Y,R_gds_inst (Vctrl=0.4) X,R_gds_inst (Vctrl=0.4) Y,R_gds_inst (Vctrl=0.5) X,R_gds_inst (Vctrl=0.5) Y,R_gds_inst (Vctrl=0.05) X,R_gds_inst (Vctrl=0.05) Y,R_gds_inst (Vctrl=0.15) X,R_gds_inst (Vctrl=0.15) Y,R_gds_inst (Vctrl=0.25) X,R_gds_inst (Vctrl=0.25) Y,R_gds_inst (Vctrl=0.35) X,R_gds_inst (Vctrl=0.35) Y,R_gds_inst (Vctrl=0.45) X,R_gds_inst (Vctrl=0.45) Y
-0.177,181615.7991,-0.177,161456.7003,-0.177,137533.5181,-0.177,108971.1284,-0.177,75097.96706,-0.177,35921.39311,-0.177,171954.3343,-0.177,150019.9814,-0.177,123884.8618,-0.177,92717.15929,-0.177,56148.94996
-0.176,181730.4447,-0.176,161560.271,-0.176,137625.8106,-0.176,109053.7274,-0.176,75177.76964,-0.176,36021.62484,-0.176,172063.5196,-0.176,150117.8702,-0.176,123971.9074,-0.176,92796.88922,-0.176,56234.21864
-0.175,181842.7556,-0.175,161661.7648,-0.175,137716.3317,-0.175,109134.9181,-0.175,75256.58526,-0.175,36121.31472,-0.175,172170.4936,-0.175,150213.8281,-0.175,124057.3555,-0.175,92875.4151,-0.175,56318.72402
-0.174,181952.7016,-0.174,161761.1544,-0.174,137805.0581,-0.174,109214.6811,-0.174,75334.39888,-0.174,36220.45198,-0.174,172275.2278,-0.174,150307.83,-0.174,124141.1847,-0.174,92952.71978,-0.174,56402.45313
-0.173,182060.2535,-0.173,161858.414,-0.173,137891.9672,-0.173,109292.998,-0.173,75411.19591,-0.173,36319.02593,-0.173,172377.6944,-0.173,150399.8514,-0.173,124223.3745,-0.173,93028.78668,-0.173,56485.39326
-0.172,182165.3835,-0.172,161953.5188,-0.172,137977.0375,-0.172,109369.8509,-0.172,75486.96227,-0.172,36417.02601,-0.172,172477.8671,-0.172,150489.8692,-0.172,124303.9051,-0.172,93103.59987,-0.172,56567.53204
-0.171,182268.0652,-0.171,162046.445,-0.171,138060.2485,-0.171,109445.2227,-0.171,75561.68432,-0.171,36514.44175,-0.171,172575.7209,-0.171,150577.8613,-0.171,124382.7578,-0.171,93177.14404,-0.171,56648.85739
-0.17,182368.2736,-0.17,162137.1702,-0.17,138141.5809,-0.17,109519.0971,-0.17,75635.34897,-0.17,36611.26281,-0.17,172671.232,-0.17,150663.8066,-0.17,124459.9147,-0.17,93249.40456,-0.17,56729.3576
-0.169,182465.9849,-0.169,162225.6733,-0.169,138221.016,-0.169,109591.4588,-0.169,75707.94365,-0.169,36707.47901,-0.169,172764.3779,-0.169,150747.6854,-0.169,124535.3588,-0.169,93320.36747,-0.169,56809.0213
-0.168,182561.1771,-0.168,162311.9344,-0.168,138298.5367,-0.168,109662.2932,-0.168,75779.45634,-0.168,36803.08028,-0.168,172855.1375,-0.168,150829.479,-0.168,124609.0741,-0.168,93390.01953,-0.168,56887.83747
